"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"01호선","1","3","1721","P162","송탄","053400","1728","0158","천안","청량리","240330","1408","1716","신창","병점"
"01호선","2","3","1717","P158","세마","050300","1716","1408","병점","신창","233330","1019","1728","광운대","천안"
"01호선","1","2","1018","120","석계","054800","1701","1915","구로","동두천","241830","1812","1019","인천","광운대"
"01호선","2","2","0150","133","서울역","052000","0150","1749","서울역","서동탄","240230","1909","1701","양주","구로"
"01호선","2","2","1714","P143","독산","050700","1701","1728","구로","천안","234500","1019","1716","광운대","병점"
"01호선","1","2","1906","110","의정부","052430","1019","1916","광운대","소요산","241400","1812","1909","인천","양주"
"01호선","1","3","1713","P155","수원","051100","1716","1019","병점","광운대","234900","1749","1701","서동탄","구로"
"01호선","2","2","1705","P146","관악","051500","1701","1728","구로","천안","235300","1019","1716","광운대","병점"
"01호선","1","3","1823","157","도화","051000","1812","1909","인천","양주","234000","1812","1701","인천","구로"
"01호선","2","2","1721","P162","송탄","051700","1716","1408","병점","신창","234730","1019","1728","광운대","천안"
"01호선","1","2","1717","P158","세마","054800","1728","0158","천안","청량리","241730","1408","1716","신창","병점"
"01호선","2","1","1728","P169","천안","052500","1728","1408","천안","신창","235400","0158","1408","청량리","신창"
"01호선","2","3","1018","120","석계","050230","1019","1812","광운대","인천","233430","1909","1701","양주","구로"
"01호선","1","3","0150","133","서울역","052000","1701","1915","구로","동두천","235730","1812","0159","인천","동묘앞"
"01호선","1","1","1810","158","제물포","050800","1812","1909","인천","양주","235100","1812","1701","인천","구로"
"01호선","1","3","1714","P143","독산","054500","1716","1019","병점","광운대","242300","1749","1701","서동탄","구로"
"01호선","2","1","1802","144","오류동","050700","1701","1812","구로","인천","235000","1906","1812","의정부","인천"
"01호선","1","1","1704","P145","석수","053930","1716","1019","병점","광운대","241730","1749","1701","서동탄","구로"
"01호선","2","3","1906","110","의정부","050900","1906","1812","의정부","인천","240900","1916","1019","소요산","광운대"
"01호선","2","1","1902","114","도봉","051630","1906","1812","의정부","인천","241930","1916","1019","소요산","광운대"
"01호선","2","2","1823","157","도화","053700","1701","1812","구로","인천","242000","1916","1812","소요산","인천"
"01호선","2","2","1713","P155","수원","054100","1701","1728","구로","천안","241900","1019","1716","광운대","병점"
"01호선","1","3","1705","P146","관악","053700","1716","1019","병점","광운대","241500","1749","1701","서동탄","구로"
