"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"03호선","2","2","0320","330","을지로3가","053800","0316","0342","독립문","오금","235530","1958","0323","대화","약수"
"03호선","2","2","0323","333","약수","054300","0316","0342","독립문","오금","234130","1958","0334","대화","도곡"
"03호선","2","3","0326","336","압구정","053000","0326","0342","압구정","오금","234700","1958","0334","대화","도곡"
"03호선","1","1","0324","334","금호","054600","0334","1958","도곡","대화","244530","0342","0316","오금","독립문"
"03호선","1","3","0331","341","남부터미널","053200","0334","1958","도곡","대화","234930","0342","0326","오금","압구정"
"03호선","2","3","1955","312","마두","053700","1958","0342","대화","오금","234300","1958","1950","대화","삼송"
"03호선","2","2","0316","326","독립문","053000","0316","0342","독립문","오금","234730","1958","0323","대화","약수"
"03호선","1","3","0323","333","약수","053000","0323","1958","약수","대화","235100","0342","0316","오금","독립문"
"03호선","1","3","0320","330","을지로3가","053500","0323","1958","약수","대화","235600","0342","0316","오금","독립문"
"03호선","1","2","0326","336","압구정","054300","0334","1958","도곡","대화","234530","0342","0316","오금","독립문"
"03호선","1","1","0341","351","경찰병원","053230","0342","1958","오금","대화","242830","0342","0326","오금","압구정"
"03호선","2","2","0331","341","남부터미널","054100","0326","0342","압구정","오금","235800","1958","0334","대화","도곡"
"03호선","2","1","0336","346","학여울","055100","0326","0342","압구정","오금","245430","0310","0339","구파발","수서"
"03호선","1","3","0316","326","독립문","054300","0323","1958","약수","대화","235200","0342","0310","오금","구파발"
"03호선","1","2","1955","312","마두","054100","1950","1958","삼송","대화","235330","0342","1958","오금","대화"
"03호선","1","2","0335","345","대치","053300","0339","1958","수서","대화","234100","0342","0326","오금","압구정"
"03호선","2","1","0322","332","동대입구","054130","0316","0342","독립문","오금","245900","1958","0323","대화","약수"
"03호선","2","3","0335","345","대치","054930","0326","0342","압구정","오금","235630","1958","0339","대화","수서"
"03호선","2","1","0325","335","옥수","054600","0316","0342","독립문","오금","244030","1958","0334","대화","도곡"
"03호선","2","1","0334","344","도곡","054800","0326","0342","압구정","오금","245130","0310","0339","구파발","수서"
"03호선","1","2","0330","340","교대","053400","0334","1958","도곡","대화","235130","0342","0326","오금","압구정"
"03호선","2","1","1948","317","원흥","053830","1958","0342","대화","오금","243630","1958","1950","대화","삼송"
"03호선","2","3","0330","340","교대","053900","0326","0342","압구정","오금","235600","1958","0334","대화","도곡"
"03호선","2","1","1952","315","화정","053200","1958","0342","대화","오금","243000","1958","1950","대화","삼송"
"03호선","1","3","0342","352","오금","052800","0342","1958","오금","대화","232700","0342","0326","오금","압구정"
"03호선","2","2","0314","324","홍제","053900","0310","0342","구파발","오금","234330","1958","0323","대화","약수"
"03호선","1","3","0319","329","종로3가","053630","0323","1958","약수","대화","235730","0342","0316","오금","독립문"
"03호선","2","1","0318","328","안국","053430","0316","0342","독립문","오금","245200","1958","0323","대화","약수"
"03호선","2","2","0313","323","녹번","053630","0310","0342","구파발","오금","234100","1958","0323","대화","약수"
"03호선","1","3","1954","313","백석","053830","1950","1958","삼송","대화","235100","0342","1958","오금","대화"
"03호선","1","3","0314","324","홍제","054700","0323","1958","약수","대화","235600","0342","0310","오금","구파발"
"03호선","2","2","0319","329","종로3가","053630","0316","0342","독립문","오금","235400","1958","0323","대화","약수"
"03호선","2","2","1954","313","백석","053930","1958","0342","대화","오금","234530","1958","1950","대화","삼송"
"03호선","1","3","0313","323","녹번","054930","0323","1958","약수","대화","235830","0342","0310","오금","구파발"
"03호선","2","1","1953","314","대곡","052900","1958","0342","대화","오금","242700","1958","1950","대화","삼송"
"03호선","1","2","1951","316","원당","052830","1950","1958","삼송","대화","234100","0342","1958","오금","대화"
"03호선","1","3","0332","342","양재","052930","0334","1958","도곡","대화","234700","0342","0326","오금","압구정"
"03호선","1","1","0340","350","가락시장","053400","0342","1958","오금","대화","243000","0342","0326","오금","압구정"
"03호선","2","3","0328","338","잠원","053430","0326","0342","압구정","오금","235130","1958","0334","대화","도곡"
"03호선","2","2","0332","342","양재","054330","0326","0342","압구정","오금","240030","1958","0334","대화","도곡"
"03호선","2","3","1951","316","원당","054930","1958","0342","대화","오금","235530","1958","1950","대화","삼송"
"03호선","1","2","0328","338","잠원","053830","0334","1958","도곡","대화","235600","0342","0326","오금","압구정"
"03호선","1","1","0317","327","경복궁","054030","0323","1958","약수","대화","245800","0342","0316","오금","독립문"
"03호선","1","3","0337","347","대청","052930","0339","1958","수서","대화","233730","0342","0326","오금","압구정"
"03호선","2","2","0329","339","고속터미널","053630","0326","0342","압구정","오금","235330","1958","0334","대화","도곡"
"03호선","1","3","0315","325","무악재","054500","0323","1958","약수","대화","235400","0342","0310","오금","구파발"
"03호선","2","3","1958","309","대화","053000","1958","0342","대화","오금","233600","1958","1950","대화","삼송"
"03호선","1","1","0310","320","구파발","055600","0323","1958","약수","대화","240930","0342","1958","오금","대화"
"03호선","2","2","0337","347","대청","055300","0326","0342","압구정","오금","240000","1958","0339","대화","수서"
"03호선","1","3","0329","339","고속터미널","053630","0334","1958","도곡","대화","235400","0342","0326","오금","압구정"
"03호선","2","2","0315","325","무악재","054100","0310","0342","구파발","오금","234530","1958","0323","대화","약수"
"03호선","1","2","1957","310","주엽","054530","1950","1958","삼송","대화","235800","0342","1958","오금","대화"
"03호선","1","1","0309","319","지축","055930","0323","1958","약수","대화","241300","0342","1958","오금","대화"
"03호선","2","3","0312","322","불광","053430","0310","0342","구파발","오금","233900","1958","0323","대화","약수"
"03호선","1","2","0333","343","매봉","052700","0334","1958","도곡","대화","234430","0342","0326","오금","압구정"
"03호선","1","3","1956","311","정발산","054300","1950","1958","삼송","대화","235530","0342","1958","오금","대화"
"03호선","1","2","0327","337","신사","054030","0334","1958","도곡","대화","235800","0342","0326","오금","압구정"
"03호선","2","1","0339","349","수서","055730","0326","0342","압구정","오금","244300","0310","0342","구파발","오금"
"03호선","1","2","0338","348","일원","052730","0339","1958","수서","대화","233530","0342","0326","오금","압구정"
"03호선","2","1","0321","331","충무로","053930","0316","0342","독립문","오금","245700","1958","0323","대화","약수"
"03호선","1","1","0311","321","연신내","055330","0323","1958","약수","대화","245500","0342","0310","오금","구파발"
"03호선","2","3","1950","318","삼송","055500","1958","0342","대화","오금","234500","1958","0310","대화","구파발"
"03호선","2","3","1957","310","주엽","053230","1958","0342","대화","오금","233830","1958","1950","대화","삼송"
"03호선","1","2","0312","322","불광","055130","0323","1958","약수","대화","240030","0342","0310","오금","구파발"
"03호선","2","3","0333","343","매봉","054600","0326","0342","압구정","오금","240300","1958","0334","대화","도곡"
"03호선","2","2","1956","311","정발산","053500","1958","0342","대화","오금","234100","1958","1950","대화","삼송"
"03호선","2","3","0327","337","신사","053230","0326","0342","압구정","오금","234930","1958","0334","대화","도곡"
"03호선","2","3","0338","348","일원","055500","0326","0342","압구정","오금","240200","1958","0339","대화","수서"
"03호선","1","2","1950","318","삼송","052300","1950","1958","삼송","대화","233530","0342","1958","오금","대화"
"03호선","1","3","0334","344","도곡","052500","0334","1958","도곡","대화","234230","0342","0326","오금","압구정"
"03호선","2","2","0322","332","동대입구","054130","0316","0342","독립문","오금","235900","1958","0323","대화","약수"
"03호선","1","3","0325","335","옥수","054530","0334","1958","도곡","대화","234800","0342","0316","오금","독립문"
"03호선","1","1","0335","345","대치","053000","0339","0310","수서","구파발","244030","0342","0326","오금","압구정"
"03호선","2","2","0334","344","도곡","054800","0326","0342","압구정","오금","235500","1958","0339","대화","수서"
"03호선","1","3","0322","332","동대입구","053130","0323","1958","약수","대화","235230","0342","0316","오금","독립문"
"03호선","2","2","0325","335","옥수","054600","0316","0342","독립문","오금","234430","1958","0334","대화","도곡"
"03호선","1","3","1952","315","화정","053200","1950","1958","삼송","대화","234430","0342","1958","오금","대화"
"03호선","2","2","1948","317","원흥","055230","1958","0342","대화","오금","235830","1958","1950","대화","삼송"
"03호선","1","1","0330","340","교대","053300","0334","1958","도곡","대화","245100","0342","0326","오금","압구정"
"03호선","2","2","1952","315","화정","054600","1958","0342","대화","오금","235200","1958","1950","대화","삼송"
"03호선","1","3","1948","317","원흥","052530","1950","1958","삼송","대화","233800","0342","1958","오금","대화"
