"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"07호선","2","1","2711","709","장암","053500","2711","3763","장암","석남","242200","2711","2729","장암","건대입구"
"07호선","2","2","2711","709","장암","053500","2711","3763","장암","석남","233530","2711","2729","장암","건대입구"
"07호선","2","3","2711","709","장암","053500","2711","3763","장암","석남","233530","2711","2729","장암","건대입구"
"07호선","1","1","2712","710","도봉산","054420","2719","2711","태릉입구","장암","242600","3763","2711","석남","장암"
"07호선","1","2","2712","710","도봉산","054420","2719","2711","태릉입구","장암","235300","2752","2711","온수","장암"
"07호선","1","3","2712","710","도봉산","054420","2719","2711","태릉입구","장암","235300","2752","2711","온수","장암"
"07호선","2","1","2712","710","도봉산","053000","2712","3763","도봉산","석남","242700","2711","2729","장암","건대입구"
"07호선","2","2","2712","710","도봉산","053000","2712","3763","도봉산","석남","234030","2711","2729","장암","건대입구"
"07호선","2","3","2712","710","도봉산","053000","2712","3763","도봉산","석남","234030","2711","2729","장암","건대입구"
"07호선","1","1","2713","711","수락산","054130","2719","2711","태릉입구","장암","245310","3763","2712","석남","도봉산"
"07호선","1","2","2713","711","수락산","054130","2719","2711","태릉입구","장암","240940","3763","2712","석남","도봉산"
"07호선","1","3","2713","711","수락산","054130","2719","2711","태릉입구","장암","240940","3763","2712","석남","도봉산"
"07호선","2","1","2713","711","수락산","053250","2712","3763","도봉산","석남","242950","2711","2729","장암","건대입구"
"07호선","2","2","2713","711","수락산","053250","2712","3763","도봉산","석남","234320","2711","2729","장암","건대입구"
"07호선","2","3","2713","711","수락산","053250","2712","3763","도봉산","석남","234320","2711","2729","장암","건대입구"
"07호선","1","1","2714","712","마들","053900","2719","2711","태릉입구","장암","245040","3763","2712","석남","도봉산"
"07호선","1","2","2714","712","마들","053900","2719","2711","태릉입구","장암","240710","3763","2712","석남","도봉산"
"07호선","1","3","2714","712","마들","053900","2719","2711","태릉입구","장암","240710","3763","2712","석남","도봉산"
"07호선","2","1","2714","712","마들","053520","2712","3763","도봉산","석남","243220","2711","2729","장암","건대입구"
"07호선","2","2","2714","712","마들","053520","2712","3763","도봉산","석남","234550","2711","2729","장암","건대입구"
"07호선","2","3","2714","712","마들","053520","2712","3763","도봉산","석남","234550","2711","2729","장암","건대입구"
"07호선","1","1","2715","713","노원","053700","2719","2711","태릉입구","장암","244840","3763","2712","석남","도봉산"
"07호선","1","2","2715","713","노원","053700","2719","2711","태릉입구","장암","240510","3763","2712","석남","도봉산"
"07호선","1","3","2715","713","노원","053700","2719","2711","태릉입구","장암","240510","3763","2712","석남","도봉산"
"07호선","2","1","2715","713","노원","053720","2712","3763","도봉산","석남","243420","2711","2729","장암","건대입구"
"07호선","2","2","2715","713","노원","053720","2712","3763","도봉산","석남","234750","2711","2729","장암","건대입구"
"07호선","2","3","2715","713","노원","053720","2712","3763","도봉산","석남","234750","2711","2729","장암","건대입구"
"07호선","1","1","2716","714","중계","053510","2719","2711","태릉입구","장암","244650","3763","2712","석남","도봉산"
"07호선","1","2","2716","714","중계","053510","2719","2711","태릉입구","장암","240320","3763","2712","석남","도봉산"
"07호선","1","3","2716","714","중계","053510","2719","2711","태릉입구","장암","240320","3763","2712","석남","도봉산"
"07호선","2","1","2716","714","중계","053910","2712","3763","도봉산","석남","243610","2711","2729","장암","건대입구"
"07호선","2","2","2716","714","중계","053910","2712","3763","도봉산","석남","234940","2711","2729","장암","건대입구"
"07호선","2","3","2716","714","중계","053910","2712","3763","도봉산","석남","234940","2711","2729","장암","건대입구"
"07호선","1","1","2717","715","하계","053330","2719","2711","태릉입구","장암","244510","3763","2712","석남","도봉산"
"07호선","1","2","2717","715","하계","053330","2719","2711","태릉입구","장암","240140","3763","2712","석남","도봉산"
