"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"02호선","2","1","0200","234-4","까치산","053000","0200","0234","까치산","신도림","245300","0200","0234","까치산","신도림"
"02호선","2","2","0200","234-4","까치산","053000","0200","0234","까치산","신도림","234700","0200","0234","까치산","신도림"
"02호선","2","3","0200","234-4","까치산","053000","0200","0234","까치산","신도림","234700","0200","0234","까치산","신도림"
"02호선","1","1","0201","201","시청","053930","0239","0211","홍대입구","성수","245830","0211","0202","성수","을지로입구"
"02호선","1","2","0201","201","시청","053930","0239","0211","홍대입구","성수","235830","0211","0202","성수","을지로입구"
"02호선","1","3","0201","201","시청","053930","0239","0211","홍대입구","성수","235830","0211","0202","성수","을지로입구"
"02호선","2","1","0201","201","시청","053200","0202","0211","을지로입구","성수","245100","0211","0239","성수","홍대입구"
"02호선","2","2","0201","201","시청","053200","0202","0211","을지로입구","성수","235100","0211","0239","성수","홍대입구"
"02호선","2","3","0201","201","시청","053200","0202","0211","을지로입구","성수","235100","0211","0239","성수","홍대입구"
"02호선","1","1","0202","202","을지로입구","053000","0202","0211","을지로입구","성수","244430","0211","0211","성수","성수"
"02호선","1","2","0202","202","을지로입구","053000","0202","0211","을지로입구","성수","234500","0211","0211","성수","성수"
"02호선","1","3","0202","202","을지로입구","053000","0202","0211","을지로입구","성수","234500","0211","0211","성수","성수"
"02호선","2","1","0202","202","을지로입구","053000","0202","0211","을지로입구","성수","244900","0211","0239","성수","홍대입구"
"02호선","2","2","0202","202","을지로입구","053000","0202","0211","을지로입구","성수","234830","0211","0239","성수","홍대입구"
"02호선","2","3","0202","202","을지로입구","053000","0202","0211","을지로입구","성수","234830","0211","0239","성수","홍대입구"
"02호선","1","1","0203","203","을지로3가","053130","0202","0211","을지로입구","성수","244600","0211","0211","성수","성수"
"02호선","1","2","0203","203","을지로3가","053130","0202","0211","을지로입구","성수","234630","0211","0211","성수","성수"
"02호선","1","3","0203","203","을지로3가","053130","0202","0211","을지로입구","성수","234630","0211","0211","성수","성수"
