"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"05호선","2","1","2511","510","방화","053000","2511","2566","방화","하남검단산","243700","2511","2518","방화","화곡"
"05호선","2","2","2511","510","방화","053000","2511","2566","방화","하남검단산","233300","2511","2518","방화","화곡"
"05호선","2","3","2511","510","방화","053000","2511","2566","방화","하남검단산","233300","2511","2518","방화","화곡"
"05호선","1","1","2512","511","개화산","055920","2527","2511","여의도","방화","245800","2566","2511","하남검단산","방화"
"05호선","1","2","2512","511","개화산","055920","2527","2511","여의도","방화","240900","2566","2511","하남검단산","방화"
"05호선","1","3","2512","511","개화산","055920","2527","2511","여의도","방화","240900","2566","2511","하남검단산","방화"
"05호선","2","1","2512","511","개화산","053200","2511","2566","방화","하남검단산","243900","2511","2518","방화","화곡"
"05호선","2","2","2512","511","개화산","053200","2511","2566","방화","하남검단산","233500","2511","2518","방화","화곡"
"05호선","2","3","2512","511","개화산","053200","2511","2566","방화","하남검단산","233500","2511","2518","방화","화곡"
"05호선","1","1","2513","512","김포공항","055710","2527","2511","여의도","방화","245550","2566","2511","하남검단산","방화"
"05호선","1","2","2513","512","김포공항","055710","2527","2511","여의도","방화","240650","2566","2511","하남검단산","방화"
"05호선","1","3","2513","512","김포공항","055710","2527","2511","여의도","방화","240650","2566","2511","하남검단산","방화"
"05호선","2","1","2513","512","김포공항","053410","2511","2566","방화","하남검단산","244100","2511","2518","방화","화곡"
"05호선","2","2","2513","512","김포공항","053410","2511","2566","방화","하남검단산","233710","2511","2518","방화","화곡"
"05호선","2","3","2513","512","김포공항","053410","2511","2566","방화","하남검단산","233710","2511","2518","방화","화곡"
"05호선","1","1","2514","513","송정","055430","2527","2511","여의도","방화","245310","2566","2511","하남검단산","방화"
"05호선","1","2","2514","513","송정","055430","2527","2511","여의도","방화","240410","2566","2511","하남검단산","방화"
"05호선","1","3","2514","513","송정","055430","2527","2511","여의도","방화","240410","2566","2511","하남검단산","방화"
"05호선","2","1","2514","513","송정","053650","2511","2566","방화","하남검단산","244330","2511","2518","방화","화곡"
"05호선","2","2","2514","513","송정","053650","2511","2566","방화","하남검단산","233950","2511","2518","방화","화곡"
"05호선","2","3","2514","513","송정","053650","2511","2566","방화","하남검단산","233950","2511","2518","방화","화곡"
"05호선","1","1","2515","514","마곡","055230","2527","2511","여의도","방화","245110","2566","2511","하남검단산","방화"
"05호선","1","2","2515","514","마곡","055230","2527","2511","여의도","방화","240210","2566","2511","하남검단산","방화"
"05호선","1","3","2515","514","마곡","055230","2527","2511","여의도","방화","240210","2566","2511","하남검단산","방화"
"05호선","2","1","2515","514","마곡","053840","2511","2566","방화","하남검단산","244510","2511","2518","방화","화곡"
"05호선","2","2","2515","514","마곡","053840","2511","2566","방화","하남검단산","234140","2511","2518","방화","화곡"
"05호선","2","3","2515","514","마곡","053840","2511","2566","방화","하남검단산","234140","2511","2518","방화","화곡"
"05호선","1","1","2516","515","발산","055030","2527","2511","여의도","방화","244910","2566","2511","하남검단산","방화"
"05호선","1","2","2516","515","발산","055030","2527","2511","여의도","방화","240010","2566","2511","하남검단산","방화"
"05호선","1","3","2516","515","발산","055030","2527","2511","여의도","방화","240010","2566","2511","하남검단산","방화"
"05호선","2","1","2516","515","발산","054050","2511","2566","방화","하남검단산","244710","2511","2518","방화","화곡"
"05호선","2","2","2516","515","발산","054050","2511","2566","방화","하남검단산","234350","2511","2518","방화","화곡"
"05호선","2","3","2516","515","발산","054050","2511","2566","방화","하남검단산","234350","2511","2518","방화","화곡"
"05호선","1","1","2517","516","우장산","054830","2527","2511","여의도","방화","244710","2566","2511","하남검단산","방화"
