"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"06호선","2","1","2611","610","응암","053700","2611","2649","응암","신내","244030","2611","2611","응암","응암"
"06호선","2","2","2611","610","응암","053700","2611","2649","응암","신내","235430","2611","2617","응암","새절"
"06호선","2","3","2611","610","응암","053700","2611","2649","응암","신내","235430","2611","2617","응암","새절"
"06호선","2","1","2612","611","역촌","053900","2611","2649","응암","신내","244230","2611","2611","응암","응암"
"06호선","2","2","2612","611","역촌","053900","2611","2649","응암","신내","235530","2611","2614","응암","독바위"
"06호선","2","3","2612","611","역촌","053900","2611","2649","응암","신내","235530","2611","2614","응암","독바위"
"06호선","2","1","2613","612","불광","054100","2611","2649","응암","신내","244420","2611","2611","응암","응암"
"06호선","2","2","2613","612","불광","054100","2611","2649","응암","신내","235730","2611","2614","응암","독바위"
"06호선","2","3","2613","612","불광","054100","2611","2649","응암","신내","235730","2611","2614","응암","독바위"
"06호선","2","1","2614","613","독바위","053200","2614","2648","독바위","봉화산","244610","2611","2611","응암","응암"
"06호선","2","2","2614","613","독바위","053200","2614","2648","독바위","봉화산","234720","2611","2617","응암","새절"
"06호선","2","3","2614","613","독바위","053200","2614","2648","독바위","봉화산","234720","2611","2617","응암","새절"
"06호선","2","1","2615","614","연신내","053450","2614","2648","독바위","봉화산","244900","2611","2611","응암","응암"
"06호선","2","2","2615","614","연신내","053450","2614","2648","독바위","봉화산","235010","2611","2617","응암","새절"
"06호선","2","3","2615","614","연신내","053450","2614","2648","독바위","봉화산","235010","2611","2617","응암","새절"
"06호선","2","1","2616","615","구산","053640","2614","2648","독바위","봉화산","245050","2611","2611","응암","응암"
"06호선","2","2","2616","615","구산","053640","2614","2648","독바위","봉화산","235200","2611","2617","응암","새절"
"06호선","2","3","2616","615","구산","053640","2614","2648","독바위","봉화산","235200","2611","2617","응암","새절"
"06호선","1","1","2617","616","새절","054610","2626","2611","대흥","응암","243840","2649","2611","신내","응암"
"06호선","1","2","2617","616","새절","054610","2626","2611","대흥","응암","240250","2648","2611","봉화산","응암"
"06호선","1","3","2617","616","새절","054610","2626","2611","대흥","응암","240250","2648","2611","봉화산","응암"
"06호선","2","1","2617","616","새절","053000","2617","2649","새절","신내","244010","2611","2627","응암","공덕"
"06호선","2","2","2617","616","새절","053000","2617","2649","새절","신내","234410","2611","2627","응암","공덕"
"06호선","2","3","2617","616","새절","053000","2617","2649","새절","신내","234410","2611","2627","응암","공덕"
"06호선","1","1","2618","617","증산","054420","2626","2611","대흥","응암","245250","2649","2617","신내","새절"
